prompt,completion,label
ACTIVATE,N1,0
ADAPT,N1,0
ADDRESS,N1,0
AIS,N3,2
AISCODE,N3,2
ALCTESTSRC,N2,1
ALIGNMENT,N1,0
ARRMEDICAL,N2,1
AVAIL,N2,1
AbundanceID,N1,0
ActiveSafetySysNote,N2,1
Activity,N1,0
AdaptiveCruiseControl,N1,0
Address,N1,0
Address2,N1,0
Address_Type,N1,0
AirBagLocCurtain,N2,1
AirBagLocFrontId,N2,1
AirBagLocKnee,N2,1
AirBagLocSeatCushion,N2,1
AirBagLocSeatCushionId,N2,1
AirBagLocSideId,N2,1
Alternate_Type,N1,0
AntilockBrakeSystem,N1,0
AntilockBrakeSystemId,N1,0
Aspect,N1,0
Association_observed,N1,0
Author,N1,0
Author_email,N1,0
Author_org,N2,1
AutoPedestrianAlertingSound,N1,0
AutoPedestrianAlertingSoundID,N1,0
AutoReverseSystemId,N1,0
AutomaticCrashNotification,N1,0
AxlesCount,N1,0
BACKBPILL,N2,1
BACKPICKUP,N1,0
BACKTRUNK,N1,0
BAGDAMAGE,N1,0
BAGDEPLOY,N1,0
BAGDVBES,N3,2
BAGDVLAT,N3,2
BAGDVRANK,N2,1
BAGDVSPEED,N2,1
BAGFLAPSDAM,N2,1
BAGFLAPSOPEN,N1,0
BAGMALFUNCTION,N1,0
BAGSTATUS,N1,0
BAGTYPE,N1,0
BC,N3,2
BC_P_5,N3,2
BELTANCHORINSP,N2,1
BELTAVAILINSP,N2,1
BELTGUIDE,N1,0
BELTLAPPOS,N2,1
BELTPOSDEVPRES,N3,2
BELTPOSDEVUSE,N3,2
BELTPRETENSIONINSP,N2,1
BELTUSE,N1,0
BELTUSEINSP,N2,1
BELTUSESRC,N3,2
BENTHOS_TotalAreaSampled_m2,N2,1
BMI,N3,2
BNA_Account,N3,2
BODYCAT,N2,1
BODYTYPE,N1,0
BackupCamera,N1,0
BackupCameraID,N1,0
Backup_prompt_exit,N1,0
Backup_prompt_startup,N1,0
BareGround,N1,0
BatteryA_from,N2,1
BatteryA_to,N2,1
BatteryKWh_to,N2,1
BatteryModulesPerPack,N1,0
BatteryPacksPerVehicle,N1,0
BatteryType,N1,0
BatteryV_from,N2,1
BenthosQAQCID,N2,1
Benthos_SampleType,N1,0
Big Game,N1,0
BiodataShortName,N1,0
BlindSpotIntervention,N1,0
BlindSpotWarning,N1,0
BrakeSystemDesc,N2,1
BrakeSystemType,N1,0
Breed,N1,0
BrrwrTaxPctScM,N3,2
Bug_ID,N1,0
BusFloorConfigurationType,N1,0
BusFloorConfigurationTypeId,N1,0
BusTypeId,N1,0
C2,N3,2
C3,N3,2
C4,N3,2
C5,N3,2
CAIS,N3,2
CARDIOCOND,N2,1
CASEID,N1,0
CASENO,N1,0
CASENUMBER,N1,0
CAUSE1,N1,0
